Reference,Qty,Value,Description,Package,Manufacturer,MPN,LCSC,Voltage / Rating,Tolerance / Spec,Datasheet,Notes
U4,1,STM32H562RGT6,"ARM Cortex-M33 MCU, 1MB flash, 640KB RAM, USB FS",LQFP-64 10x10mm,STMicroelectronics,STM32H562RGT6,C19711662,1.71-3.6 V,-,https://www.st.com/resource/en/datasheet/stm32h562rg.pdf,LCSC verified in stock. VREF+ bonded to VDDA on LQFP64.
U2,1,AP2112K-3.3,"LDO regulator, 600 mA, fixed 3.3 V, enable",SOT-23-5,Diodes Incorporated,AP2112K-3.3TRG1,C51118,Vin 2.5-6 V / Vout 3.3 V,+/-1.5%,https://www.diodes.com/assets/Datasheets/AP2112.pdf,JLC Basic. Needs >=1 uF X5R/X7R at VIN - MISSING on this board.
U7,1,TCA9548APWR,"8-channel bidirectional I2C/SMBus switch with reset",TSSOP-24,Texas Instruments,TCA9548APWR,C130026,1.65-5.5 V,-,https://www.ti.com/lit/ds/symlink/tca9548a.pdf,A0/A1/A2 = GND -> address 0x70. RESET pin must be pulled to VCC - currently floating.
Y2,1,12 MHz,"Crystal, HSE, 4-pad SMD",SMD 3225 (3.2x2.5mm),Abracon (schematic) / YXC (JLC alt),ABM8G-12.000MHZ-4Y-T3 / X322512MSB4SI,C9002 (YXC alt),-,ABM8G CL=10 pF; YXC C9002 CL=20 pF,https://abracon.com/Resonators/ABM8G.pdf,"Load caps C31/C32 (27 pF) match neither CL - choose crystal then set C = 2*(CL - Cstray)."
J2,1,USB Micro-B,"USB 2.0 Micro-B receptacle, SMT + THT shield legs",Amphenol 10118193,Amphenol ICC,10118193-0001LF,C132562,-,-,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf,No ESD protection on D+/D-/VBUS - add TVS array.
J4,1,Strip Conn 1,"Wire-to-board header 1x5, 1.50 mm pitch, vertical",Wuerth WR-WTB 64800511622,Wuerth Elektronik,648005113222 (verify variant),verify (Wuerth not always on LCSC),-,-,https://www.we-online.com/components/products/datasheet/648005113222.pdf,Does NOT mate with strip board J1 (2.0 mm header / JST EH). Pick one mating pair.
J5,1,Strip Conn 2,"Wire-to-board header 1x5, 1.50 mm pitch, vertical",Wuerth WR-WTB 64800511622,Wuerth Elektronik,648005113222 (verify variant),verify,-,-,https://www.we-online.com/components/products/datasheet/648005113222.pdf,See J4.
J6,1,Strip Conn 3,"Wire-to-board header 1x5, 1.50 mm pitch, vertical",Wuerth WR-WTB 64800511622,Wuerth Elektronik,648005113222 (verify variant),verify,-,-,https://www.we-online.com/components/products/datasheet/648005113222.pdf,See J4.
J7,1,Strip Conn 4,"Wire-to-board header 1x5, 1.50 mm pitch, vertical",Wuerth WR-WTB 64800511622,Wuerth Elektronik,648005113222 (verify variant),verify,-,-,https://www.we-online.com/components/products/datasheet/648005113222.pdf,See J4.
J8,1,SWD,"Cortex debug, 2x5 1.27 mm no-legs (Tag-Connect footprint)",Tag-Connect TC2050-IDC-NL,Tag-Connect,TC2050-IDC-NL,not stocked at LCSC (hand-tool part),-,-,https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/TC2050-IDC-NL_Datasheet.pdf,"Symbol value/datasheet say JST PH - inconsistent. No VTref pin wired to probe."
