Designator,Footprint,Quantity,Value,LCSC Part #
C17,0402,1,4.7uF,
"C18, C36",0402,2,100nF,
"C23, C25, C27, C29",0603,4,100nF,C16194197
"C24, C26, C28, C30",0603,4,4.7uF,C907917
"C31, C32",0603,2,33pF,C909846
"C33, C34",0603,2,2.2uF,C77047
C35,0603,1,10uF,
D2,0603,1,LED_R,C23070302
D3,0603,1,LED_G,C20433785
J1,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,1,1,
J2,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,1,2,
J3,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,1,3,
J4,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,1,4,
J5,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,1,USB_B_Micro,
J7,Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical_with_bottom_clip,1,SWD JST PH,
"R1, R11, R16, R21, R29, R30, R31, R32, R6",0402,9,10k,
"R10, R12, R15, R17, R2, R20, R26, R27, R5, R7",0402,10,2.2k,
"R13, R14, R18, R19, R3, R4, R8, R9",0402,8,0,
R22,0402,1,15k,
"R23, R24",0603,2,220R,C2484076
R25,0603,1,10k,RC0603FR-0710KL
U1,LQFP-64_10x10mm_P0.5mm,1,STM32H562RGT6,C19711662
U2,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,
U3,SOT-23-5,1,AP2112K-3.3,
Y2,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,12MHz,ABM8G-12.000MHZ-18-D2Y-T
