Designator,Mid X,Mid Y,Rotation,Layer
C17,174.45,-96.5,0.0,top
C18,174.45,-97.525,0.0,top
C23,148.15,-113.975,315.0,top
C24,149.75,-113.35,315.0,top
C25,142.376992,-109.148008,225.0,top
C26,143.526992,-110.273008,225.0,top
C27,149.025,-95.75,45.0,top
C28,151.075,-95.95,45.0,top
C29,158.35,-106.3,315.0,top
C30,158.25,-108.425,315.0,top
C31,146.353769,-96.50585,315.0,top
C32,141.801777,-99.278858,135.0,top
C33,146.051992,-112.773008,225.0,top
C34,153.348008,-95.876992,45.0,top
C35,147.175,-118.2,90.0,top
C36,127.46,-114.7,90.0,top
D2,162.025,-122.9375,90.0,top
D3,160.375,-122.95,90.0,top
H1,122.6,-77.6,0.0,top
H2,177.4,-77.625,0.0,top
H3,122.625,-122.375,0.0,top
H4,177.375,-122.375,0.0,top
J1,167.125,-78.425,0.0,top
J2,155.5,-78.425,0.0,top
J3,143.925,-78.375,0.0,top
J4,132.25,-78.35,0.0,top
J5,150.0,-123.5,0.0,top
J7,124.14,-111.525,90.0,top
JP1,176.8,-94.05,180.0,top
JP2,176.8,-91.45,180.0,top
JP3,176.8,-88.85,180.0,top
R1,130.125,-82.585,90.0,top
R10,146.025,-82.585,90.0,top
R11,153.4,-82.66,90.0,top
R12,154.45,-82.66,90.0,top
R13,155.5,-82.66,90.0,top
R14,156.55,-82.66,90.0,top
R15,157.6,-82.66,90.0,top
R16,165.075,-82.66,90.0,top
R17,166.1,-82.66,90.0,top
R18,167.125,-82.66,90.0,top
R19,168.175,-82.66,90.0,top
R2,131.175,-82.585,90.0,top
R20,169.2,-82.66,90.0,top
R21,144.165,-120.5,180.0,top
R22,142.2,-120.5,180.0,top
R23,160.375,-119.875,270.0,top
R24,162.025,-119.875,270.0,top
R25,154.45,-96.975,45.0,top
R26,155.564376,-98.685624,225.0,top
R27,156.525,-96.775,225.0,top
R29,171.875,-89.15,180.0,top
R3,132.25,-82.585,90.0,top
R30,174.58,-89.17,270.0,top
R31,174.57,-91.76,270.0,top
R32,174.6,-93.75,270.0,top
R4,133.325,-82.585,90.0,top
R5,134.4,-82.585,90.0,top
R6,141.825,-82.585,90.0,top
R7,142.875,-82.585,90.0,top
R8,143.925,-82.585,90.0,top
R9,144.975,-82.585,90.0,top
U1,150.0,-105.0,225.0,top
U2,169.1,-94.1625,180.0,top
U3,143.1125,-122.775,0.0,top
Y2,144.075,-97.875,315.0,top
