Designator,Mid X,Mid Y,Rotation,Layer
C1,383.46,-142.82,180.0,top
C10,133.22,-141.91,180.0,top
C11,83.1,-143.0,180.0,top
C12,83.1,-141.99,180.0,top
C15,333.42,-142.82,180.0,top
C16,333.42,-141.82,180.0,top
C17,35.19,-141.24,90.0,top
C18,36.18,-141.24,90.0,top
C2,383.46,-141.82,180.0,top
C3,283.345,-142.825,180.0,top
C4,283.35,-141.84,180.0,top
C5,233.34,-142.82,180.0,top
C6,233.34,-141.83,180.0,top
C7,183.24,-142.92,180.0,top
C8,183.24,-141.92,180.0,top
C9,133.22,-142.91,180.0,top
J1,31.195,-143.055,90.0,top
R1,50.91,-148.68,0.0,top
R10,48.97,-144.34,0.0,top
R11,50.92,-142.48,0.0,top
R12,48.97,-143.1,0.0,top
R13,50.92,-141.23,0.0,top
R14,48.97,-141.86,0.0,top
R17,35.53,-144.68,180.0,top
R18,35.53,-143.65,180.0,top
R2,48.97,-149.31,0.0,top
R3,50.92,-147.44,0.0,top
R4,48.97,-148.05,0.0,top
R5,50.92,-146.22,0.0,top
R6,48.97,-146.81,0.0,top
R7,50.92,-144.97,0.0,top
R8,48.98,-145.58,0.0,top
R9,50.92,-143.72,0.0,top
U1,383.4425,-139.635,270.0,top
U2,283.315,-139.635,270.0,top
U3,233.345,-139.635,270.0,top
U4,183.235,-139.725,270.0,top
U5,133.2075,-139.725,270.0,top
U6,83.105,-139.765,270.0,top
U7,40.75,-144.67,0.0,top
U9,333.385,-139.63,270.0,top
